"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-03-31,1341,"Putnam County","IN","Indianapolis-Carmel-Anderson",1094,143600,-0.00069589422407794,0.00279329608938547,0.0995405819295559,0.0564913311160899,0.0258076359402459,"2019-02","2019-Q1",143700,-0.00069589422407794,"2019-01"
2019-03-31,502,"Erath County","TX","Stephenville",1095,150900,-0.00264375413086583,0.0120724346076459,0.163454124903624,0.0586165411022117,0.0368326204943441,"2019-02","2019-Q1",151300,-0.00264375413086583,"2019-01"
2019-03-31,1111,"Isanti County","MN","Minneapolis-St. Paul-Bloomington",1096,197400,-0.00853842290306379,-0.0227722772277228,0.0906077348066298,0.0690045354179434,0.0262773036678199,"2018-12","2018-Q4",202000,-0.0227722772277228,"2018-09"
2019-03-31,1418,"Talbot County","MD","Easton",1097,294600,-0.00101729399796541,-0.00741239892183288,-0.0143860823017732,0.0151971958675057,-0.00218001345744756,"2006-08","2006-Q3",363800,-0.190214403518417,"2005-03"
2019-03-31,1625,"Clinton County","IL","St. Louis",1098,119800,0.00167224080267559,0.00841750841750842,0.0472027972027972,0.0463830337222839,0.0145368034414375,"2019-03","2019-Q1",119800,0,"2019-03"
2019-03-31,1277,"Oconto County","WI","Green Bay",1099,149200,-0.0020066889632107,0,0.0657142857142857,0.0552923609010356,0.0239113408371414,"2019-01","2019-Q1",149700,-0.00334001336005344,"2018-12"
2019-03-31,2600,"Williams County","OH",,1100,98500,-0.0080563947633434,-0.0120361083249749,0.0580021482277121,0.0398968012902716,0.0190009928939181,"2019-01","2019-Q1",100000,-0.015,"2018-11"
2019-03-31,1483,"Warren County","VA","Washington-Arlington-Alexandria",1101,210600,-0.00142247510668563,-0.00800753650494583,0.0394866732477789,0.0290562142450117,0.00767413156745023,"2006-04","2006-Q2",258800,-0.186244204018547,"2005-02"
2019-03-31,1899,"Madison County","ID","Rexburg",1102,243300,-0.00205086136177194,-0.00286885245901639,0.0974289580514208,0.0824770211373735,,"2019-01","2019-Q1",244900,-0.00653327888934259,"2018-12"
2019-03-31,2453,"Newberry County","SC","Newberry",1103,94600,0.00105820105820106,-0.00210970464135021,0.0499445061043285,0.0364370525334048,0.009576582776887,"2005-03","2005-Q1",96900,-0.0237358101135191,"2004-09"
2019-03-31,2485,"Pontotoc County","OK","Ada",1104,92700,-0.0032258064516129,-0.0148777895855473,-0.00429645542427497,0.0574804404155045,0.0247414686554361,"2018-09","2018-Q3",95800,-0.0323590814196242,"2018-03"
2019-03-31,1047,"Graham County","AZ","Safford",1105,166200,0.0036231884057971,0.0202578268876611,0.0955833882663151,0.0660676133220031,0.0164350494023207,"2019-03","2019-Q1",166200,0,"2019-03"
2019-03-31,2610,"Alexander County","NC","Hickory-Lenoir-Morganton",1106,146500,0.000683060109289618,0.00687285223367698,0.0623640319071791,0.0342449190338285,0.00948703947257545,"2019-03","2019-Q1",146500,0,"2019-03"
2019-03-31,2167,"Calloway County","KY","Murray",1107,131700,-0.0037821482602118,-0.0037821482602118,0.0337519623233909,0.0457586866438808,0.0255834740197531,"2019-01","2019-Q1",132600,-0.00678733031674208,"2018-12"
2019-03-31,2374,"Lagrange County","IN",,1108,174000,0.000575043128234618,0.00928074245939675,0.105463786531131,0.0576079313994713,0.0241207824415266,"2019-03","2019-Q1",174000,0,"2019-03"
2019-03-31,2939,"Huntington County","IN","Huntington",1109,102600,0.00293255131964809,0.0168483647175421,0.109189189189189,0.0502346993231864,0.0156996071742834,"2019-03","2019-Q1",102600,0,"2019-03"
2019-03-31,473,"Delta County","MI","Escanaba",1110,98300,-0.00101626016260163,0,0.0650054171180932,0.0906435042529592,0.0532701229700947,"2019-01","2019-Q1",98600,-0.00304259634888438,"2018-12"
